ISIN,SECURITY_NAME,WEIGHTAGE
INE081A01020,TATA STEEL LTD.,19.53
INE038A01020,HINDALCO INDUSTRIES LTD.,15.59
INE019A01038,JSW STEEL LTD.,14.9
INE205A01025,VEDANTA LTD.,10.91
INE423A01024,ADANI ENTERPRISES LTD.,8.94
INE749A01030,JINDAL STEEL LTD.,5.34
INE702C01027,APL APOLLO TUBES LTD.,4.44
INE220G01021,JINDAL STAINLESS LTD.,3.77
INE584A01023,NMDC LTD.,3.64
INE114A01011,STEEL AUTHORITY OF INDIA LTD.,2.62
INE281B01032,LLOYDS METALS AND ENERGY LTD.,2.58
INE139A01034,NATIONAL ALUMINIUM CO. LTD.,2.55
INE267A01025,HINDUSTAN ZINC LTD.,2.35
INE191B01025,WELSPUN CORP LTD.,1.69
INE531E01026,HINDUSTAN COPPER LTD.,1.15
